|horoscope|zodiac|pub_date
0|"İlişkisi olan bir Koç
burcuysan, aldığın yeni
kararlar karşı tarafı
huzursuz edebilir. Maddi konular ile
daha fazla ilgilenmen gerekiyor."|koc|04-29-2020
1|"Bazı arkadaşlarınla
paylaştığın sırlarının
ortaya döküldüğünü
öğrenebilirsin. Hayal kırıklıklarının
bir tecrübe olduğunu biliyorsun."|boga|04-29-2020
2|"İlişkinde karşı
tarafa daha
anlayışlı yaklaşıyorsun.
Bugün ilgiye ve sevgiye daha
fazla ihtiyaç duyabilirsin."|ikizler|04-29-2020
3|"Yaşadığın sıkıntıların
aldığın
önlemler sayesinde
ortadan kalkması, ruhsal
olarak rahatlamanı sağlıyor."|yengec|04-29-2020
4|"İş için yaptığın konferans
görüşmelerinde
daha fazla söz hakkı
alıyorsun. Özgüvenli oluşun patronların
tarafından takdir edilebilir."|aslan|04-29-2020
5|"Yeni biten bir ilişkisi
olan Başak
burcuysan özlem
duygun artabilir. Fakat gururun karşı
tarafa adım atmana engel olabilir."|basak|04-29-2020
6|"Güne mutlu olacağın
haberler alarak
başlayabilirsin.
İşinle alakalı yoğunluktan dolayı kendini
yorgun hissedebilirsin."|terazi|04-29-2020
7|"Keskin zekanı sezgilerin
ile birleştirdiğin
taktirde iş hayatında
başarılı olabilirsin. Duygusal açıdan
yorgun hissediyorsun."|akrep|04-29-2020
8|"Çevrendeki kişilerin verdiği
sözleri tutmadığına
şahit olabilirsin. Arkadaşların
arasında olan münakaşalarda
taraf olmak istemiyorsun."|yay|04-29-2020
9|"Kendi sıkıntılarından
başını kaldırıp
etrafına bakman
çevrende olup bitenleri daha net görmeni
sağlayabilir."|oglak|04-29-2020
10|"Şüpheciliği bırakmıyor
olman gelecek ile ilgili
aldığın kararları olumsuz
etkiliyor. Arkadaşların ile konuşurken
daha dinleyici taraf olabilirsin."|kova|04-29-2020
11|"Kendini yorgun hissedebilirsin.
Üzerindeki
ağırlıklardan,
kalbini yoran sorumluluklardan arınmak
isteyebilirsin."|balik|04-29-2020
